,GrowthRate,PopDensity,PopTotal,UNRegion,x,y
80,1.77,16.65,39666519.0,Africa,2.6533458103358316,28.16580336254835
81,1.48,65.0,16144363.0,America,-78.39688315199771,-1.4299101536698786
82,2.03,91.93,91508084.0,Africa,29.85660678224238,26.506196089611613
83,2.34,51.76,5227791.0,Africa,38.82261260221975,15.341401289791515
84,-0.26,30.96,1312558.0,Europe,25.743641851167187,58.72415811743632
85,2.45,99.39,99390750.0,Africa,39.610395766250605,8.631695156208037
86,0.37,18.11,5503457.0,Europe,26.23914158636645,64.53349850389974
87,0.6,48.83,892145.0,Oceania,177.98676008973712,-17.863232147799053
88,0.31,0.24,2903.0,America,-58.68453174842484,-51.76393274334029
89,2.17,6.7,1725292.0,Africa,11.773016902595177,-0.6495481059888543
90,0.61,267.5,64715810.0,Europe,-2.6024505135926055,53.989363799496346
91,-0.5,57.56,3999812.0,Asia,43.497511471764234,42.16286301768598
92,2.25,120.46,27409893.0,Africa,-1.220473761518696,7.915654087582675
93,2.65,51.31,12608590.0,Africa,-10.897955965966055,10.45437882303274
94,3.17,196.73,1990924.0,Africa,-15.573815037161644,13.4840554479005
95,2.36,65.59,1844325.0,Africa,-14.956351098973387,12.079118012514948
96,-0.32,84.99,10954617.0,Europe,22.54202724876206,39.41769125992519
97,0.02,0.14,56186.0,America,-41.46212124953631,74.6629445401974
98,2.0,152.51,16342897.0,America,-90.37666106827868,15.692192389463806
99,0.46,3.9,767085.0,America,-58.9875767286909,4.845011746194591
100,1.41,72.17,8075060.0,America,-86.64860682799286,14.797418462128554
101,-0.36,75.77,4240317.0,Europe,16.4007965796656,45.13929706973677
102,1.27,388.65,10711067.0,America,-72.56674306568134,18.96996479433125
103,-0.34,108.86,9855023.0,Europe,19.392255292433404,47.16237139240582
104,1.16,142.18,257563815.0,Asia,114.0053242092795,-0.24616800420953688
105,1.19,440.96,1311050527.0,Asia,79.61197804041348,22.923894711891318
106,0.54,68.06,4688465.0,Europe,-8.16455061280062,53.134254989164944
107,1.17,48.58,79109272.0,Asia,54.25469899445615,32.57789515885194
108,3.04,83.86,36423395.0,Asia,43.73032898154823,33.04931091981211
109,0.71,3.29,329425.0,Europe,-18.684405692174934,65.1186899565095
110,1.58,372.65,8064036.0,Asia,35.01241472442792,31.51580930193209
111,0.36,257.93,2793335.0,America,-76.80225039338396,18.106850176523224
112,2.0,85.54,7594547.0,Asia,36.75683420189783,31.25951140807771
113,-0.2,347.2,126573481.0,Asia,137.95970392761754,36.67083763277799
114,1.3,6.53,17625226.0,Asia,67.21970515317054,48.15031092718394
115,2.57,80.91,46050302.0,Africa,37.8516982202068,0.565967155157263
116,1.57,30.97,5939962.0,Asia,74.44981624436961,41.39907084409153
117,1.59,88.25,15577899.0,Asia,104.92509271225602,12.723265291129959
118,0.42,517.26,50293439.0,Asia,127.88071805425162,36.426312631563675
119,,,,Europe,20.896712930434028,42.54449411034085
120,2.91,218.41,3892115.0,Asia,47.58081532045802,29.28788042077885
121,1.7,29.47,6802023.0,Asia,103.76323613033182,18.47648503398022
122,2.32,571.92,5850743.0,Asia,35.98082445798966,33.99449618249425
123,2.45,46.76,4503438.0,Africa,-9.322507540751895,6.4413095343252476
124,0.82,3.57,6278438.0,Africa,18.015032031148987,27.030139409433612
125,0.46,330.33,20715010.0,Asia,80.66944102444826,7.724585194690633
126,1.18,70.32,2135022.0,Africa,28.227317374183215,-29.583963854929795
127,-0.99,45.93,2878405.0,Europe,23.83714702864602,55.34005810235581
128,-0.75,31.68,1970503.0,Europe,24.88432574819414,56.8985192954877
129,1.27,77.03,34377511.0,Africa,-6.218118416602364,31.94383257357286
130,-0.15,123.86,4068897.0,Europe,28.45565756203066,47.25609066558454
131,2.77,41.66,24235390.0,Africa,46.71674048295463,-19.359736510078758
132,1.26,65.34,127017224.0,America,-102.51805508414141,23.959825306480727
133,0.12,82.41,2078453.0,Europe,21.692938173436414,41.60436818465379
134,3.0,14.42,17599694.0,Africa,-3.529408601910074,17.35056380846051
135,0.86,82.5,53897154.0,Asia,96.49084791822546,21.225084070096297
136,0.05,46.53,625781.0,Europe,19.310525535511665,42.73248539657396
137,1.59,1.91,2959134.0,Asia,103.02556764478123,46.81301066499212
138,2.73,35.58,27977863.0,Africa,35.559750023147934,-17.284762746156147
139,2.4,3.95,4067564.0,Africa,-10.353845284294232,20.259393678515494
140,3.06,182.6,17215232.0,Africa,34.281417929849155,-13.518491941714162
141,1.38,92.32,30331007.0,Asia,114.71341165703876,3.5913263968241855
142,2.22,2.99,2458830.0,Africa,17.200411149834213,-22.137547348938764
143,4.02,15.71,19899120.0,Africa,9.384158837938642,17.40515740390471
144,2.59,200.05,182201962.0,Africa,8.059120955573428,9.577784196357461
145,1.11,50.54,6082032.0,America,-85.03856899434109,12.82686959165097
146,0.32,501.93,16924929.0,Europe,5.596622394469342,52.27743279969038
